,Top 25,Top 50,Top 100,Top 200
adrenal gland diseases,0.024 +/- 0.032,0.016 +/- 0.015,0.01 +/- 0.006,0.006 +/- 0.002
alzheimer disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.003 +/- 0.004
amino acid metabolism inborn errors,0.016 +/- 0.02,0.04 +/- 0.042,0.032 +/- 0.017,0.024 +/- 0.005
amyotrophic lateral sclerosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
anemia aplastic,0.016 +/- 0.02,0.016 +/- 0.015,0.012 +/- 0.007,0.006 +/- 0.004
anemia hemolytic,0.064 +/- 0.032,0.036 +/- 0.02,0.022 +/- 0.007,0.012 +/- 0.005
aneurysm,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
arrhythmias cardiac,0.032 +/- 0.03,0.02 +/- 0.018,0.012 +/- 0.007,0.006 +/- 0.004
arterial occlusive diseases,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.004 +/- 0.004
arteriosclerosis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.002 +/- 0.002
arthritis rheumatoid,0.008 +/- 0.016,0.008 +/- 0.01,0.008 +/- 0.012,0.004 +/- 0.006
asthma,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
basal ganglia diseases,0.032 +/- 0.03,0.016 +/- 0.015,0.008 +/- 0.007,0.004 +/- 0.004
behcet syndrome,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
bile duct diseases,0.0 +/- 0.0,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
blood coagulation disorders,0.192 +/- 0.03,0.1 +/- 0.013,0.05 +/- 0.006,0.027 +/- 0.004
blood platelet disorders,0.096 +/- 0.032,0.056 +/- 0.023,0.028 +/- 0.012,0.016 +/- 0.006
breast neoplasms,0.032 +/- 0.03,0.02 +/- 0.013,0.012 +/- 0.007,0.01 +/- 0.005
carbohydrate metabolism inborn errors,0.152 +/- 0.059,0.08 +/- 0.028,0.048 +/- 0.015,0.027 +/- 0.006
carcinoma renal cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cardiomyopathies,0.088 +/- 0.059,0.064 +/- 0.023,0.036 +/- 0.014,0.019 +/- 0.006
cardiomyopathy hypertrophic,0.048 +/- 0.047,0.032 +/- 0.027,0.02 +/- 0.017,0.01 +/- 0.008
celiac disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.003 +/- 0.002
cerebellar ataxia,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
cerebrovascular disorders,0.0 +/- 0.0,0.0 +/- 0.0,0.002 +/- 0.004,0.002 +/- 0.002
charcot-marie-tooth disease,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
colitis ulcerative,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
colorectal neoplasms,0.016 +/- 0.02,0.012 +/- 0.01,0.008 +/- 0.007,0.007 +/- 0.002
coronary artery disease,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.003 +/- 0.002
crohn disease,0.024 +/- 0.02,0.016 +/- 0.015,0.008 +/- 0.007,0.006 +/- 0.002
death sudden,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
diabetes mellitus type 2,0.016 +/- 0.02,0.008 +/- 0.01,0.004 +/- 0.005,0.005 +/- 0.004
dwarfism,0.0 +/- 0.0,0.008 +/- 0.01,0.004 +/- 0.005,0.002 +/- 0.002
esophageal diseases,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
exophthalmos,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
glomerulonephritis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
gout,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
graves disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
head and neck neoplasms,0.008 +/- 0.016,0.008 +/- 0.01,0.004 +/- 0.005,0.003 +/- 0.002
hypothalamic diseases,0.04 +/- 0.025,0.02 +/- 0.013,0.01 +/- 0.006,0.005 +/- 0.003
leukemia b-cell,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
leukemia myeloid,0.024 +/- 0.02,0.012 +/- 0.01,0.01 +/- 0.011,0.005 +/- 0.005
lipid metabolism disorders,0.064 +/- 0.032,0.044 +/- 0.023,0.024 +/- 0.015,0.014 +/- 0.009
liver cirrhosis,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
liver cirrhosis biliary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.001 +/- 0.002
lung diseases obstructive,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
lupus erythematosus,0.008 +/- 0.016,0.008 +/- 0.01,0.006 +/- 0.008,0.005 +/- 0.005
lymphoma,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
lysosomal storage diseases,0.152 +/- 0.047,0.084 +/- 0.034,0.042 +/- 0.017,0.022 +/- 0.008
macular degeneration,0.024 +/- 0.032,0.02 +/- 0.013,0.012 +/- 0.007,0.009 +/- 0.006
metabolic syndrome x,0.008 +/- 0.016,0.004 +/- 0.008,0.006 +/- 0.008,0.003 +/- 0.004
motor neuron disease,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
multiple sclerosis,0.016 +/- 0.02,0.008 +/- 0.01,0.012 +/- 0.01,0.008 +/- 0.007
muscular dystrophies,0.056 +/- 0.041,0.028 +/- 0.02,0.014 +/- 0.01,0.008 +/- 0.005
mycobacterium infections,0.032 +/- 0.03,0.02 +/- 0.013,0.01 +/- 0.006,0.006 +/- 0.005
myeloproliferative disorders,0.016 +/- 0.032,0.016 +/- 0.015,0.008 +/- 0.007,0.005 +/- 0.003
nutritional and metabolic diseases,0.056 +/- 0.048,0.056 +/- 0.008,0.066 +/- 0.01,0.064 +/- 0.012
peroxisomal disorders,0.12 +/- 0.0,0.068 +/- 0.01,0.034 +/- 0.005,0.017 +/- 0.002
psoriasis,0.0 +/- 0.0,0.008 +/- 0.01,0.006 +/- 0.008,0.003 +/- 0.004
purine-pyrimidine metabolism inborn errors,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
renal tubular transport inborn errors,0.032 +/- 0.03,0.02 +/- 0.013,0.01 +/- 0.006,0.005 +/- 0.003
sarcoma,0.008 +/- 0.016,0.008 +/- 0.01,0.006 +/- 0.008,0.004 +/- 0.005
spastic paraplegia hereditary,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar ataxias,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spinocerebellar degenerations,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
spondylarthropathies,0.024 +/- 0.032,0.012 +/- 0.016,0.008 +/- 0.01,0.005 +/- 0.004
tauopathies,0.008 +/- 0.016,0.012 +/- 0.01,0.008 +/- 0.007,0.004 +/- 0.004
uveal diseases,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
varicose veins,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0,0.0 +/- 0.0
vasculitis,0.008 +/- 0.016,0.004 +/- 0.008,0.002 +/- 0.004,0.001 +/- 0.002
